"","date","county","state","fips","cases","deaths","countyFP"
"412","2020-03-01","Hillsborough","Florida",12057,1,0,"057"
"413","2020-03-01","Manatee","Florida",12081,1,0,"081"
"441","2020-03-02","Hillsborough","Florida",12057,1,0,"057"
"442","2020-03-02","Manatee","Florida",12081,1,0,"081"
"475","2020-03-03","Hillsborough","Florida",12057,2,0,"057"
"476","2020-03-03","Manatee","Florida",12081,1,0,"081"
"510","2020-03-04","Hillsborough","Florida",12057,2,0,"057"
"511","2020-03-04","Manatee","Florida",12081,1,0,"081"
"551","2020-03-05","Hillsborough","Florida",12057,2,0,"057"
"552","2020-03-05","Manatee","Florida",12081,1,0,"081"
"553","2020-03-05","Santa Rosa","Florida",12113,1,0,"113"
"605","2020-03-06","Broward","Florida",12011,2,0,"011"
"606","2020-03-06","Hillsborough","Florida",12057,2,0,"057"
"607","2020-03-06","Lee","Florida",12071,1,1,"071"
"608","2020-03-06","Manatee","Florida",12081,1,0,"081"
"609","2020-03-06","Santa Rosa","Florida",12113,1,1,"113"
"684","2020-03-07","Broward","Florida",12011,2,0,"011"
"685","2020-03-07","Charlotte","Florida",12015,1,0,"015"
"686","2020-03-07","Hillsborough","Florida",12057,2,0,"057"
"687","2020-03-07","Lee","Florida",12071,2,1,"071"
"688","2020-03-07","Manatee","Florida",12081,2,0,"081"
"689","2020-03-07","Okaloosa","Florida",12091,1,0,"091"
"690","2020-03-07","Santa Rosa","Florida",12113,1,1,"113"
"691","2020-03-07","Volusia","Florida",12127,1,0,"127"
"780","2020-03-08","Broward","Florida",12011,3,0,"011"
"781","2020-03-08","Charlotte","Florida",12015,1,0,"015"
"782","2020-03-08","Hillsborough","Florida",12057,2,0,"057"
"783","2020-03-08","Lee","Florida",12071,2,1,"071"
"784","2020-03-08","Manatee","Florida",12081,2,0,"081"
"785","2020-03-08","Okaloosa","Florida",12091,1,0,"091"
"786","2020-03-08","Santa Rosa","Florida",12113,1,1,"113"
"787","2020-03-08","Volusia","Florida",12127,1,0,"127"
"897","2020-03-09","Broward","Florida",12011,3,0,"011"
"898","2020-03-09","Charlotte","Florida",12015,1,0,"015"
"899","2020-03-09","Hillsborough","Florida",12057,2,0,"057"
"900","2020-03-09","Lee","Florida",12071,2,1,"071"
"901","2020-03-09","Manatee","Florida",12081,2,0,"081"
"902","2020-03-09","Okaloosa","Florida",12091,1,0,"091"
"903","2020-03-09","Santa Rosa","Florida",12113,1,1,"113"
"904","2020-03-09","Volusia","Florida",12127,2,0,"127"
"1032","2020-03-10","Alachua","Florida",12001,1,0,"001"
"1033","2020-03-10","Broward","Florida",12011,4,0,"011"
"1034","2020-03-10","Charlotte","Florida",12015,1,0,"015"
"1035","2020-03-10","Collier","Florida",12021,3,0,"021"
"1036","2020-03-10","Hillsborough","Florida",12057,2,0,"057"
"1037","2020-03-10","Lee","Florida",12071,2,1,"071"
"1038","2020-03-10","Manatee","Florida",12081,2,0,"081"
"1039","2020-03-10","Nassau","Florida",12089,1,0,"089"
"1040","2020-03-10","Okaloosa","Florida",12091,1,0,"091"
"1041","2020-03-10","Pasco","Florida",12101,1,0,"101"
"1042","2020-03-10","Pinellas","Florida",12103,2,0,"103"
"1043","2020-03-10","Santa Rosa","Florida",12113,1,1,"113"
"1044","2020-03-10","Volusia","Florida",12127,2,0,"127"
"1201","2020-03-11","Alachua","Florida",12001,1,0,"001"
"1202","2020-03-11","Broward","Florida",12011,5,0,"011"
"1203","2020-03-11","Charlotte","Florida",12015,1,0,"015"
"1204","2020-03-11","Collier","Florida",12021,3,0,"021"
"1205","2020-03-11","Hillsborough","Florida",12057,2,0,"057"
"1206","2020-03-11","Lee","Florida",12071,2,1,"071"
"1207","2020-03-11","Manatee","Florida",12081,2,0,"081"
"1208","2020-03-11","Miami-Dade","Florida",12086,1,0,"086"
"1209","2020-03-11","Nassau","Florida",12089,1,0,"089"
"1210","2020-03-11","Okaloosa","Florida",12091,1,0,"091"
"1211","2020-03-11","Pasco","Florida",12101,1,0,"101"
"1212","2020-03-11","Pinellas","Florida",12103,2,0,"103"
"1213","2020-03-11","Santa Rosa","Florida",12113,1,1,"113"
"1214","2020-03-11","St. Johns","Florida",12109,1,0,"109"
"1215","2020-03-11","Volusia","Florida",12127,2,0,"127"
"1410","2020-03-12","Alachua","Florida",12001,2,0,"001"
"1411","2020-03-12","Broward","Florida",12011,12,0,"011"
"1412","2020-03-12","Charlotte","Florida",12015,1,0,"015"
"1413","2020-03-12","Clay","Florida",12019,1,0,"019"
"1414","2020-03-12","Collier","Florida",12021,3,0,"021"
"1415","2020-03-12","Duval","Florida",12031,1,0,"031"
"1416","2020-03-12","Hillsborough","Florida",12057,3,0,"057"
"1417","2020-03-12","Lee","Florida",12071,4,1,"071"
"1418","2020-03-12","Manatee","Florida",12081,2,0,"081"
"1419","2020-03-12","Miami-Dade","Florida",12086,2,0,"086"
"1420","2020-03-12","Nassau","Florida",12089,1,0,"089"
"1421","2020-03-12","Okaloosa","Florida",12091,1,0,"091"
"1422","2020-03-12","Palm Beach","Florida",12099,2,0,"099"
"1423","2020-03-12","Pasco","Florida",12101,1,0,"101"
"1424","2020-03-12","Pinellas","Florida",12103,2,0,"103"
"1425","2020-03-12","Santa Rosa","Florida",12113,1,1,"113"
"1426","2020-03-12","Sarasota","Florida",12115,2,0,"115"
"1427","2020-03-12","Seminole","Florida",12117,1,0,"117"
"1428","2020-03-12","St. Johns","Florida",12109,1,0,"109"
"1429","2020-03-12","Volusia","Florida",12127,3,0,"127"
"1676","2020-03-13","Alachua","Florida",12001,3,0,"001"
"1677","2020-03-13","Broward","Florida",12011,21,0,"011"
"1678","2020-03-13","Charlotte","Florida",12015,1,0,"015"
"1679","2020-03-13","Clay","Florida",12019,1,0,"019"
"1680","2020-03-13","Collier","Florida",12021,3,0,"021"
"1681","2020-03-13","Duval","Florida",12031,1,0,"031"
"1682","2020-03-13","Hillsborough","Florida",12057,3,0,"057"
"1683","2020-03-13","Lee","Florida",12071,4,1,"071"
"1684","2020-03-13","Manatee","Florida",12081,4,0,"081"
"1685","2020-03-13","Miami-Dade","Florida",12086,8,0,"086"
"1686","2020-03-13","Nassau","Florida",12089,1,0,"089"
"1687","2020-03-13","Okaloosa","Florida",12091,1,0,"091"
"1688","2020-03-13","Orange","Florida",12095,1,0,"095"
"1689","2020-03-13","Osceola","Florida",12097,1,0,"097"
"1690","2020-03-13","Palm Beach","Florida",12099,5,0,"099"
"1691","2020-03-13","Pasco","Florida",12101,1,0,"101"
"1692","2020-03-13","Pinellas","Florida",12103,2,0,"103"
"1693","2020-03-13","Santa Rosa","Florida",12113,1,1,"113"
"1694","2020-03-13","Sarasota","Florida",12115,2,0,"115"
"1695","2020-03-13","Seminole","Florida",12117,1,0,"117"
"1696","2020-03-13","St. Johns","Florida",12109,1,0,"109"
"1697","2020-03-13","Volusia","Florida",12127,4,0,"127"
"1998","2020-03-14","Alachua","Florida",12001,3,0,"001"
"1999","2020-03-14","Broward","Florida",12011,21,0,"011"
"2000","2020-03-14","Charlotte","Florida",12015,1,0,"015"
"2001","2020-03-14","Clay","Florida",12019,1,0,"019"
"2002","2020-03-14","Collier","Florida",12021,3,0,"021"
"2003","2020-03-14","Duval","Florida",12031,1,0,"031"
"2004","2020-03-14","Hillsborough","Florida",12057,3,0,"057"
"2005","2020-03-14","Lee","Florida",12071,4,2,"071"
"2006","2020-03-14","Manatee","Florida",12081,4,0,"081"
"2007","2020-03-14","Miami-Dade","Florida",12086,8,0,"086"
"2008","2020-03-14","Nassau","Florida",12089,1,0,"089"
"2009","2020-03-14","Okaloosa","Florida",12091,1,0,"091"
"2010","2020-03-14","Orange","Florida",12095,1,0,"095"
"2011","2020-03-14","Osceola","Florida",12097,1,0,"097"
"2012","2020-03-14","Palm Beach","Florida",12099,5,0,"099"
"2013","2020-03-14","Pasco","Florida",12101,1,0,"101"
"2014","2020-03-14","Pinellas","Florida",12103,2,0,"103"
"2015","2020-03-14","Santa Rosa","Florida",12113,1,1,"113"
"2016","2020-03-14","Sarasota","Florida",12115,2,0,"115"
"2017","2020-03-14","Seminole","Florida",12117,1,0,"117"
"2018","2020-03-14","St. Johns","Florida",12109,1,0,"109"
"2019","2020-03-14","Volusia","Florida",12127,4,0,"127"
"2380","2020-03-15","Alachua","Florida",12001,4,0,"001"
"2381","2020-03-15","Baker","Florida",12003,1,0,"003"
"2382","2020-03-15","Broward","Florida",12011,37,0,"011"
"2383","2020-03-15","Charlotte","Florida",12015,1,0,"015"
"2384","2020-03-15","Citrus","Florida",12017,1,0,"017"
"2385","2020-03-15","Clay","Florida",12019,3,0,"019"
"2386","2020-03-15","Collier","Florida",12021,5,0,"021"
"2387","2020-03-15","Duval","Florida",12031,4,0,"031"
"2388","2020-03-15","Hillsborough","Florida",12057,6,0,"057"
"2389","2020-03-15","Lee","Florida",12071,5,2,"071"
"2390","2020-03-15","Manatee","Florida",12081,4,0,"081"
"2391","2020-03-15","Miami-Dade","Florida",12086,13,0,"086"
"2392","2020-03-15","Nassau","Florida",12089,1,0,"089"
"2393","2020-03-15","Okaloosa","Florida",12091,1,0,"091"
"2394","2020-03-15","Orange","Florida",12095,2,0,"095"
"2395","2020-03-15","Osceola","Florida",12097,1,0,"097"
"2396","2020-03-15","Palm Beach","Florida",12099,5,0,"099"
